Year,goals,Player,t,delta_goals
2004,5,Lionel Messi,0,NA
2005,4,Lionel Messi,1,-1
2006,10,Lionel Messi,2,6
2007,25,Lionel Messi,3,15
2008,20,Lionel Messi,4,-5
2009,38,Lionel Messi,5,18
2010,58,Lionel Messi,6,20
2011,55,Lionel Messi,7,-3
2012,79,Lionel Messi,8,24
2013,39,Lionel Messi,9,-40
2014,50,Lionel Messi,10,11
2015,48,Lionel Messi,11,-2
2016,51,Lionel Messi,12,3
2017,50,Lionel Messi,13,-1
2018,47,Lionel Messi,14,-3
2019,45,Lionel Messi,15,-2
2020,26,Lionel Messi,16,-19
2021,34,Lionel Messi,17,8
2022,17,Lionel Messi,18,-17
2023,20,Lionel Messi,19,3
2024,23,Lionel Messi,20,3
2025,42,Lionel Messi,21,19
2002,5,Cristiano Ronaldo,0,NA
2003,1,Cristiano Ronaldo,1,-4
2004,6,Cristiano Ronaldo,2,5
2005,13,Cristiano Ronaldo,3,7
2006,19,Cristiano Ronaldo,4,6
2007,29,Cristiano Ronaldo,5,10
2008,34,Cristiano Ronaldo,6,5
2009,29,Cristiano Ronaldo,7,-5
2010,45,Cristiano Ronaldo,8,16
2011,53,Cristiano Ronaldo,9,8
2012,58,Cristiano Ronaldo,10,5
2013,59,Cristiano Ronaldo,11,1
2014,56,Cristiano Ronaldo,12,-3
2015,54,Cristiano Ronaldo,13,-2
2016,42,Cristiano Ronaldo,14,-12
2017,42,Cristiano Ronaldo,15,0
2018,43,Cristiano Ronaldo,16,1
2019,25,Cristiano Ronaldo,17,-18
2020,41,Cristiano Ronaldo,18,16
2021,34,Cristiano Ronaldo,19,-7
2022,13,Cristiano Ronaldo,20,-21
2023,38,Cristiano Ronaldo,21,25
2024,36,Cristiano Ronaldo,22,-2
2025,29,Cristiano Ronaldo,23,-7
2009,14,Neymar,0,NA
2010,42,Neymar,1,28
2011,24,Neymar,2,-18
2012,43,Neymar,3,19
2013,24,Neymar,4,-19
2014,18,Neymar,5,-6
2015,41,Neymar,6,23
2016,21,Neymar,7,-20
2017,31,Neymar,8,10
2018,27,Neymar,9,-4
2019,16,Neymar,10,-11
2020,19,Neymar,11,3
2021,11,Neymar,12,-8
2022,25,Neymar,13,14
2023,4,Neymar,14,-21
2025,7,Neymar,16,3
2007,9,Robert Lewandowski,0,NA
2008,24,Robert Lewandowski,1,15
2009,20,Robert Lewandowski,2,-4
2010,15,Robert Lewandowski,3,-5
2011,19,Robert Lewandowski,4,4
2012,30,Robert Lewandowski,5,11
2013,36,Robert Lewandowski,6,6
2014,22,Robert Lewandowski,7,-14
2015,38,Robert Lewandowski,8,16
2016,39,Robert Lewandowski,9,1
2017,44,Robert Lewandowski,10,5
2018,42,Robert Lewandowski,11,-2
2019,48,Robert Lewandowski,12,6
2020,45,Robert Lewandowski,13,-3
2021,58,Robert Lewandowski,14,13
2022,38,Robert Lewandowski,15,-20
2023,24,Robert Lewandowski,16,-14
2024,40,Robert Lewandowski,17,16
2025,27,Robert Lewandowski,18,-13
